Dataset,Algo,Sparsity,TopN,Precision,Recall,F1
ml-100k,SVD,0.75,25,0.6480593849416755,0.615848768512983,0.6315436340033541
ml-100k,SVD,0.75,30,0.6151643690349947,0.6669083747213903,0.6399921869294395
ml-100k,SVD,0.75,35,0.584305408271474,0.7080376391599726,0.6402483034875213
ml-100k,SVD,0.75,40,0.5571049840933192,0.7421505360735895,0.6364502689063208
ml-100k,SVD,0.75,45,0.5310003534817958,0.7707407191879652,0.6287941633312036
ml-100k,SVD,0.75,50,0.5079745493107105,0.794957396746492,0.6198606558930534
ml-100k,SVD,0.75,55,0.4868601176130338,0.8156624748689009,0.6097606763050738
ml-100k,SVD,0.75,60,0.4675680452456698,0.8337664338155687,0.5991427229866755
ml-100k,SVD,0.75,65,0.4497593604698589,0.8502754302679552,0.5883216917964382
ml-100k,SVD,0.75,70,0.4335252234509922,0.8649259822294318,0.5775607555743156
ml-100k,SVD,0.75,75,0.4181265464828561,0.8782842370328264,0.5665394943182737
ml-100k,SVD,0.75,80,0.4045334040296925,0.8905220650301129,0.5563405289376786
ml-100k,SVD,0.75,85,0.3914166302788348,0.900823766862051,0.5457148748489232
ml-100k,SVD,0.75,90,0.3784258277365382,0.909988590873224,0.5345534491977884
ml-100k,SVD,0.75,95,0.3671485181671038,0.919390999821028,0.5247457050185634
ml-100k,SVD,0.75,100,0.3560021208907741,0.9267070173251613,0.514395124791857
