TopN,MAE,Precision,Recall,F1,Algo,Dataset,Neighbors,Sparsity
15,0.8125340341452447,0.6910569105691057,0.43766084914420633,0.535915292700749,KNN,ml-100k,61.0,0.75
15,0.772485077605068,0.7218805231530576,0.4556156748454662,0.5586431315417136,SVD,ml-100k,,0.75
20,0.8125340341452447,0.6653764581124073,0.5367344112599449,0.5941722192357445,KNN,ml-100k,61.0,0.75
20,0.7736644320514643,0.6844644750795335,0.5487337279438551,0.6091295659281836,SVD,ml-100k,,0.75
25,0.8125340341452447,0.6345281018027572,0.6058409314783961,0.619852779182152,KNN,ml-100k,61.0,0.75
25,0.7744655343485304,0.6480593849416755,0.615848768512983,0.6315436340033541,SVD,ml-100k,,0.75
30,0.8125340341452447,0.6033580770590314,0.6592412660042751,0.6300629645652482,KNN,ml-100k,61.0,0.75
30,0.7742625196328559,0.6151643690349947,0.6669083747213903,0.6399921869294395,SVD,ml-100k,,0.75
35,0.8125340341452447,0.574428116951977,0.701739387527416,0.6317334261427534,KNN,ml-100k,61.0,0.75
35,0.7747951546178325,0.584305408271474,0.7080376391599726,0.6402483034875213,SVD,ml-100k,,0.75
40,0.8125340341452447,0.5488069989395545,0.7367569665577838,0.629042802406123,KNN,ml-100k,61.0,0.75
40,0.7728744318829597,0.5571049840933192,0.7421505360735895,0.6364502689063208,SVD,ml-100k,,0.75
45,0.8125340341452447,0.523671497584541,0.7649372519595354,0.6217183244077479,KNN,ml-100k,61.0,0.75
45,0.7752250593381298,0.5310003534817958,0.7707407191879652,0.6287941633312036,SVD,ml-100k,,0.75
50,0.8125340341452447,0.5013361611876989,0.7895144233077238,0.613257854840159,KNN,ml-100k,61.0,0.75
50,0.7746651951448168,0.5079745493107105,0.794957396746492,0.6198606558930534,SVD,ml-100k,,0.75
55,0.8125340341452447,0.48072881519329025,0.810728466615715,0.6035670566721613,KNN,ml-100k,61.0,0.75
55,0.7738332233924619,0.4868601176130338,0.8156624748689009,0.6097606763050738,SVD,ml-100k,,0.75
60,0.8125340341452447,0.462407211028632,0.8295090439192038,0.5938015905484425,KNN,ml-100k,61.0,0.75
60,0.772697047097533,0.46756804524566986,0.8337664338155687,0.5991427229866755,SVD,ml-100k,,0.75
65,0.8125340341452447,0.44572966799902114,0.8464588672226233,0.5839578661750808,KNN,ml-100k,61.0,0.75
65,0.7744424273794904,0.4497593604698589,0.8502754302679552,0.5883216917964382,SVD,ml-100k,,0.75
70,0.8125340341452447,0.43013179821239206,0.8615825155417125,0.5738018581543112,KNN,ml-100k,61.0,0.75
70,0.7735035849509435,0.43352522345099226,0.8649259822294318,0.5775607555743156,SVD,ml-100k,,0.75
75,0.8125340341452447,0.4155107811947685,0.8750283048678079,0.5634601825698246,KNN,ml-100k,61.0,0.75
75,0.7739953080990207,0.41812654648285613,0.8782842370328264,0.5665394943182737,SVD,ml-100k,,0.75
80,0.8125340341452447,0.4020943796394486,0.887621829822097,0.5534671060166898,KNN,ml-100k,61.0,0.75
80,0.7737535548628431,0.4045334040296925,0.8905220650301129,0.5563405289376786,SVD,ml-100k,,0.75
85,0.8125340341452447,0.3892832636766266,0.8986267446274698,0.5432372599329715,KNN,ml-100k,61.0,0.75
85,0.7740153963496567,0.3914166302788348,0.900823766862051,0.5457148748489232,SVD,ml-100k,,0.75
90,0.8125340341452447,0.37728290326381525,0.9088796137068366,0.5332214783933634,KNN,ml-100k,61.0,0.75
90,0.7738635737230336,0.3784258277365382,0.909988590873224,0.5345534491977884,SVD,ml-100k,,0.75
95,0.8125340341452447,0.3657755204554334,0.9178093667066544,0.5230853091893803,KNN,ml-100k,61.0,0.75
95,0.7744338430478137,0.36714851816710387,0.9193909998210281,0.5247457050185634,SVD,ml-100k,,0.75
100,0.8125340341452447,0.3544644750795334,0.9254357302782954,0.5125932302842788,KNN,ml-100k,61.0,0.75
100,0.7740014480402199,0.3560021208907741,0.9267070173251611,0.514395124791857,SVD,ml-100k,,0.75
