Dataset,Algo,Sparsity,TopN,Precision,Recall,F1
custom,KNN,0.6,10,0.4162352941176471,0.8629660753190166,0.5615954076718733
custom,KNN,0.6,15,0.32666666666666666,0.9775,0.4896869009584665
custom,KNN,0.6,20,0.24600000000000002,0.98,0.3932789559543231
custom,KNN,0.6,25,0.1968,0.98,0.32777702243371853
custom,KNN,0.6,30,0.16399999999999998,0.98,0.28097902097902094
custom,KNN,0.6,35,0.14057142857142857,0.98,0.2458745537990821
custom,KNN,0.6,40,0.12300000000000001,0.98,0.2185675430643699
custom,KNN,0.6,45,0.10933333333333334,0.98,0.19671970624235008
custom,KNN,0.6,50,0.0984,0.98,0.1788427299703264
custom,KNN,0.6,55,0.08945454545454545,0.98,0.16394423665419924
custom,KNN,0.6,60,0.08199999999999999,0.98,0.15133709981167606
custom,KNN,0.6,65,0.0756923076923077,0.98,0.14053045759253863
custom,KNN,0.6,70,0.07028571428571428,0.98,0.13116430903155604
custom,KNN,0.6,75,0.0656,0.98,0.12296863045141544
custom,KNN,0.6,80,0.061500000000000006,0.98,0.11573691790686509
custom,KNN,0.6,85,0.05788235294117647,0.98,0.10930854681478122
custom,KNN,0.6,90,0.05466666666666667,0.98,0.10355670103092784
custom,KNN,0.6,95,0.051789473684210524,0.98,0.0983799224648031
custom,KNN,0.6,100,0.0492,0.98,0.09369607462106491
custom,KNN,0.65,10,0.4225882352941177,0.7996216931216931,0.552949385247219
custom,KNN,0.65,15,0.3466928104575163,0.9685326797385619,0.5106094983550804
custom,KNN,0.65,20,0.265,0.98,0.4171887550200802
custom,KNN,0.65,25,0.212,0.98,0.3485906040268456
custom,KNN,0.65,30,0.17666666666666667,0.98,0.2993659942363112
custom,KNN,0.65,35,0.1514285714285714,0.98,0.2623232323232323
custom,KNN,0.65,40,0.1325,0.98,0.233438202247191
custom,KNN,0.65,45,0.11777777777777779,0.98,0.21028340080971664
custom,KNN,0.65,50,0.106,0.98,0.1913075506445672
custom,KNN,0.65,55,0.09636363636363637,0.98,0.17547297297297298
custom,KNN,0.65,60,0.08833333333333333,0.98,0.16205928237129485
custom,KNN,0.65,65,0.08153846153846153,0.98,0.15055072463768118
custom,KNN,0.65,70,0.0757142857142857,0.98,0.14056833558863327
custom,KNN,0.65,75,0.07066666666666667,0.98,0.1318274111675127
custom,KNN,0.65,80,0.06625,0.98,0.12410991636798088
custom,KNN,0.65,85,0.06235294117647059,0.98,0.11724604966139957
custom,KNN,0.65,90,0.05888888888888889,0.98,0.11110160427807486
custom,KNN,0.65,95,0.05578947368421052,0.98,0.1055691056910569
custom,KNN,0.65,100,0.053,0.98,0.10056147144240078
custom,KNN,0.7,10,0.4435686274509804,0.7632050759697819,0.5610547515191697
custom,KNN,0.7,15,0.37200000000000005,0.9647676767676768,0.5369572918240896
custom,KNN,0.7,20,0.28600000000000003,0.98,0.4427804107424961
custom,KNN,0.7,25,0.22880000000000003,0.98,0.37098610191925874
custom,KNN,0.7,30,0.19066666666666662,0.98,0.3192255125284738
custom,KNN,0.7,35,0.16342857142857142,0.98,0.2801399300349825
custom,KNN,0.7,40,0.14300000000000002,0.98,0.24958147818343726
custom,KNN,0.7,45,0.1271111111111111,0.98,0.22503412284223198
custom,KNN,0.7,50,0.11440000000000002,0.98,0.2048830409356725
custom,KNN,0.7,55,0.10400000000000001,0.98,0.1880442804428044
custom,KNN,0.7,60,0.09533333333333331,0.98,0.17376317420954743
custom,KNN,0.7,65,0.08800000000000001,0.98,0.16149812734082394
custom,KNN,0.7,70,0.08171428571428571,0.98,0.1508503767491927
custom,KNN,0.7,75,0.07626666666666666,0.98,0.14151981822772025
custom,KNN,0.7,80,0.07150000000000001,0.98,0.13327627199239184
custom,KNN,0.7,85,0.06729411764705882,0.98,0.12594023814873062
custom,KNN,0.7,90,0.06355555555555555,0.98,0.11936967632027255
custom,KNN,0.7,95,0.06021052631578947,0.98,0.11345071847804085
custom,KNN,0.7,100,0.05720000000000001,0.98,0.10809101426918627
custom,KNN,0.75,10,0.43592156862745096,0.7472408963585434,0.550621537351252
custom,KNN,0.75,15,0.3853333333333333,0.9718650793650794,0.5518603721874933
custom,KNN,0.75,20,0.302,1.0,0.46390168970814133
custom,KNN,0.75,25,0.2416,1.0,0.38917525773195877
custom,KNN,0.75,30,0.20133333333333334,1.0,0.33518312985571586
custom,KNN,0.75,35,0.17257142857142857,1.0,0.29434697855750486
custom,KNN,0.75,40,0.151,1.0,0.262380538662033
custom,KNN,0.75,45,0.13422222222222221,1.0,0.2366771159874608
custom,KNN,0.75,50,0.1208,1.0,0.21556031406138473
custom,KNN,0.75,55,0.1098181818181818,1.0,0.19790301441677585
custom,KNN,0.75,60,0.10066666666666667,1.0,0.18291944276196248
custom,KNN,0.75,65,0.09292307692307693,1.0,0.17004504504504506
custom,KNN,0.75,70,0.08628571428571429,1.0,0.15886375591793792
custom,KNN,0.75,75,0.08053333333333333,1.0,0.14906219151036526
custom,KNN,0.75,80,0.0755,1.0,0.14039981403998142
custom,KNN,0.75,85,0.07105882352941176,1.0,0.13268892794376097
custom,KNN,0.75,90,0.06711111111111111,1.0,0.12578092461474386
custom,KNN,0.75,95,0.06357894736842105,1.0,0.11955661124307206
custom,KNN,0.75,100,0.0604,1.0,0.1139192757450019
custom,SVD,0.25,10,0.198,0.88,0.32326530612244897
custom,SVD,0.25,15,0.132,0.88,0.22956521739130434
custom,SVD,0.25,20,0.099,0.88,0.17797752808988768
custom,SVD,0.25,25,0.07919999999999998,0.88,0.14532110091743117
custom,SVD,0.25,30,0.066,0.88,0.12279069767441861
custom,SVD,0.25,35,0.056571428571428564,0.88,0.10630872483221473
custom,SVD,0.25,40,0.0495,0.88,0.09372781065088759
custom,SVD,0.25,45,0.044000000000000004,0.88,0.08380952380952382
custom,SVD,0.25,50,0.03959999999999999,0.88,0.07578947368421052
custom,SVD,0.25,55,0.036,0.88,0.06917030567685589
custom,SVD,0.25,60,0.033,0.88,0.0636144578313253
custom,SVD,0.25,65,0.03046153846153846,0.88,0.05888475836431227
custom,SVD,0.25,70,0.028285714285714282,0.88,0.054809688581314873
custom,SVD,0.25,75,0.0264,0.88,0.051262135922330095
custom,SVD,0.25,80,0.02475,0.88,0.04814589665653495
