TopN,MAE,Precision,Recall,F1,Algo,Dataset,Neighbors,Sparsity
10,0.7451130507564178,0.6242841993637328,0.6650042810700078,0.6440012014092917,KNN,ml-100k,50.0,0.25
10,0.7405579215262927,0.6257688229056204,0.6639370525458893,0.6442881524589738,SVD,ml-100k,,0.25
10,0.7450708232392746,0.6254506892895015,0.6657181077989622,0.6449564926511091,KNN,ml-100k,51.0,0.25
10,0.7386339074956224,0.6253446447507954,0.6656702644554153,0.6448776572270388,SVD,ml-100k,,0.25
10,0.7449234942584692,0.6247083775185578,0.6650120350886672,0.6442304632997606,KNN,ml-100k,52.0,0.25
10,0.7409279866727788,0.6238600212089077,0.663392815308722,0.6430193728653216,SVD,ml-100k,,0.25
10,0.7449561379261416,0.6244962884411452,0.6649023448042977,0.6440662116431105,KNN,ml-100k,53.0,0.25
10,0.7408840994090853,0.6230116648992576,0.663277148104029,0.6425141790125585,SVD,ml-100k,,0.25
10,0.7449458061764198,0.6253446447507954,0.6654002130113341,0.644750908470185,KNN,ml-100k,54.0,0.25
10,0.738917219801781,0.6238600212089077,0.6636134525826425,0.6431230018021377,SVD,ml-100k,,0.25
10,0.7449675218797194,0.6253446447507954,0.6651607963327312,0.6446384937914039,KNN,ml-100k,55.0,0.25
10,0.7380095949497314,0.6258748674443266,0.6648196601639906,0.6447597131298762,SVD,ml-100k,,0.25
10,0.7449401976694873,0.6256627783669141,0.6655533302272868,0.6449918692459948,KNN,ml-100k,56.0,0.25
10,0.740112242935735,0.6221633085896077,0.6617925596850173,0.6413663564416969,SVD,ml-100k,,0.25
10,0.744866464937847,0.6250265111346766,0.6651527525237091,0.6444656428637194,KNN,ml-100k,57.0,0.25
10,0.7427070226261541,0.6236479321314953,0.6631232848324526,0.6427800993400529,SVD,ml-100k,,0.25
10,0.7448416350165463,0.6247083775185578,0.6651783844962101,0.6443085107563656,KNN,ml-100k,58.0,0.25
10,0.7392616398437277,0.6259809119830329,0.6664169559412998,0.64556636032073,SVD,ml-100k,,0.25
10,0.7448293111202521,0.6247083775185578,0.6652546485264694,0.6443442854200732,KNN,ml-100k,59.0,0.25
10,0.737831673181089,0.6241781548250266,0.6629748877388383,0.6429918252764802,SVD,ml-100k,,0.25
10,0.7448240126155272,0.6251325556733828,0.6650452374089921,0.6444715311781075,KNN,ml-100k,60.0,0.25
10,0.7398373429930588,0.6261930010604454,0.665609074597743,0.6452996969261908,SVD,ml-100k,,0.25
10,0.7447724284931726,0.6251325556733828,0.6652860262641765,0.6445845707334027,KNN,ml-100k,61.0,0.25
10,0.739854076811748,0.6244962884411452,0.6642919340323488,0.6437796994271088,SVD,ml-100k,,0.25
10,0.7447788596376084,0.6250265111346766,0.66536600846619,0.6445657248971999,KNN,ml-100k,62.0,0.25
10,0.7412363139552973,0.6247083775185578,0.6648246200586372,0.6441425081972135,SVD,ml-100k,,0.25
10,0.7448097283464654,0.6252386002120891,0.6655986993211868,0.6447876881416968,KNN,ml-100k,63.0,0.25
10,0.7390640088983206,0.6233297985153764,0.6627303810493009,0.6424265387476825,SVD,ml-100k,,0.25
10,0.7447965278322899,0.6252386002120891,0.6653970296209455,0.6446930454559087,KNN,ml-100k,64.0,0.25
10,0.7406538828366186,0.6220572640509014,0.6632178974311701,0.6419785009614533,SVD,ml-100k,,0.25
10,0.7447644346152142,0.6261930010604454,0.6660251414459379,0.6454951658468598,KNN,ml-100k,65.0,0.25
10,0.7389058298428259,0.6233297985153764,0.6628388584345125,0.6424775006661423,SVD,ml-100k,,0.25
10,0.7447043086500221,0.6262990455991516,0.6663235447649034,0.6456916400153102,KNN,ml-100k,66.0,0.25
10,0.739970870961162,0.6221633085896077,0.6627501947302459,0.6418157375674073,SVD,ml-100k,,0.25
10,0.7446705417213308,0.6259809119830329,0.6661023515728629,0.6454187114290184,KNN,ml-100k,67.0,0.25
10,0.7404015442053254,0.624390243902439,0.663624296160107,0.6434097182146287,SVD,ml-100k,,0.25
10,0.7446705742997756,0.6266171792152704,0.666253647280633,0.6458278314352525,KNN,ml-100k,68.0,0.25
10,0.7399634074257001,0.6221633085896077,0.6617826889915446,0.6413617210162809,SVD,ml-100k,,0.25
10,0.7446633745063993,0.6262990455991516,0.6663530310795603,0.645705483983776,KNN,ml-100k,69.0,0.25
